Key,en,es,ar,fr
Role Permission,Role Permission,Permiso de rol,إذن الدور,Autorisation de rôle
Email To Admin,Email To Admin,Correo electrónico al administrador,البريد الإلكتروني إلى المشرف,Envoyer un e-mail à l'administrateur
Web Settings,Web Settings,Configuración web,إعدادات الويب,Paramètres Web
Basic Settings,Basic Settings,Configuración básica,الإعدادات الأساسية,Paramètres de base
Setup SEO,Setup SEO,Configurar SEO,إعداد تحسين محركات البحث,Configuration du référencement
App Settings,App Settings,Configuración de la aplicación,إعدادات التطبيق,Paramètres de l'application
Splash Screen,Splash Screen,Pantalla de bienvenida,شاشة البداية,Écran de démarrage
Default,Default,Por defecto,تقصير,Défaut
Interface Panel,Interface Panel,Panel de interfaz,لوحة الواجهة,Panneau d'interface
Onboard Screen,Onboard Screen,Pantalla a bordo,شاشة مدمجة,Écran embarqué
App URLs,App URLs,URL de aplicaciones,عناوين URL للتطبيق,URL des applications
Languages,Languages,Idiomas,اللغات,Langues
Money Out Settings,Money Out Settings,Configuración de salida de dinero,إعدادات صرف الأموال,Paramètres de retrait d'argent
Verification Center,Verification Center,Centro de verificación,مركز التحقق,Centre de vérification
Setup Email,Setup Email,Configurar correo electrónico,إعداد البريد الإلكتروني,Configuration de l'e-mail
Email Method,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني,Méthode par courrier électronique
Setup KYC,Setup KYC,Configurar KYC,إعداد KYC,Configuration KYC
Setup Web Content,Setup Web Content,Configurar contenido web,إعداد محتوى الويب,Configurer le contenu Web
Setup Section,Setup Section,Sección de configuración,قسم الإعداد,Section de configuration
Banner Section,Banner Section,Sección de Banner,قسم اللافتات,Section Bannière
Brand Section,Brand Section,Sección de marca,قسم العلامة التجارية,Section Marque
About Us Section,About Us Section,Sección Acerca de Nosotros,قسم عنا,Section À propos de nous
Services Section,Services Section,Sección de Servicios,قسم الخدمات,Section des services
Feature Section,Feature Section,Sección de características,قسم الميزات,Section des fonctionnalités
Clients Feedback,Clients Feedback,Comentarios de los clientes,تعليقات العملاء,Commentaires des clients
Announcements,Announcements,Anuncios,الإعلانات,Annonces
How It Work Section,How It Work Section,Sección Cómo funciona,قسم كيفية العمل,Section Comment ça marche
About Page Section,About Page Section,Sección Acerca de la página,قسم الصفحة حول,Section Page À propos
Contact US Section,Contact US Section,Sección Contáctenos,قسم الاتصال بنا,Section Contactez-nous
Footer Section,Footer Section,Sección de pie de página,قسم التذييل,Section pied de page
Setup Pages,Setup Pages,Páginas de configuración,صفحات الإعداد,Pages de configuration
Extensions,Extensions,Extensiones,الإضافات,Extensions
Useful Links,Useful Links,Enlaces útiles,روابط مفيدة,Liens utiles
Automatic,Automatic,Automático,أوتوماتيكي,Automatique
Manual,Manual,Manual,يدوي,Manuel
Money Out,Money Out,Dinero fuera,سحب الأموال,Sortie d'argent
Notification,Notification,Notificación,إشعار,Notification
Push Notification,Push Notification,Notificación push,إشعار الدفع,Notification push
Setup Notification,Setup Notification,Notificación de configuración,إشعار الإعداد,Notification de configuration
Send Notification,Send Notification,Enviar notificación,إرسال إشعار,Envoyer une notification
Bonus,Bonus,Prima,علاوة,Prime
GDPR Cookie,GDPR Cookie,Cookie de RGPD,ملف تعريف الارتباط GDPR,Cookie RGPD
Server Info,Server Info,Información del servidor,معلومات الخادم,Informations sur le serveur
Clear Cache,Clear Cache,Borrar caché,مسح ذاكرة التخزين المؤقت,Vider le cache
Total Add Money Request,Total Add Money Request,Solicitud de agregar dinero total,إجمالي طلب إضافة الأموال,Demande totale d'ajout d'argent
Add Money Balance,Add Money Balance,Agregar saldo de dinero,إضافة رصيد المال,Ajouter un solde d'argent
Money Out Request,Money Out Request,Solicitud de retiro de dinero,طلب سحب الأموال,Demande de retrait d'argent
Money Out Balance,Money Out Balance,Saldo de dinero saliente,رصيد النقد الخارج,Solde des sorties d'argent
User Active Tickets,User Active Tickets,Tickets activos de usuario,تذاكر المستخدم النشطة,Tickets actifs des utilisateurs
Total Users,Total Users,Total de usuarios,إجمالي المستخدمين,Nombre total d'utilisateurs
Total User Invest,Total User Invest,Inversión total del usuario,إجمالي استثمار المستخدم,Investissement total des utilisateurs
Users Total Profit,Users Total Profit,Beneficio total de los usuarios,إجمالي ربح المستخدمين,Bénéfice total des utilisateurs
Monthly Add Money Chart,Monthly Add Money Chart,Tabla de adición de dinero mensual,مخطط إضافة الأموال شهريًا,Tableau des ajouts mensuels d'argent
Revenue Chart,Revenue Chart,Gráfico de ingresos,مخطط الإيرادات,Tableau des revenus
Yearly Investment Analytics,Yearly Investment Analytics,Análisis de inversión anual,تحليلات الاستثمار السنوية,Analyse annuelle des investissements
User Analytics,User Analytics,Análisis de usuarios,تحليلات المستخدم,Analyse des utilisateurs
Growth,Growth,Crecimiento,نمو,Croissance
Latest Add Money,Latest Add Money,Último dinero añadido,أحدث إضافة أموال,Dernier ajout d'argent
Download App,Download App,Descargar la aplicación,تنزيل التطبيق,Télécharger l'application
Login,Login,Acceso,تسجيل الدخول,Se connecter
Contact,Contact,Contacto,اتصال,Contact
Announcement,Announcement,Anuncio,إعلان,Annonce
Plan,Plan,Plan,يخطط,Plan
About,About,Acerca de,عن,À propos
Stay connected with us for regular updates,Stay connected with us for regular updates,Manténgase conectado con nosotros para recibir actualizaciones periódicas.,ابق على اتصال معنا للحصول على التحديثات المنتظمة,Restez connecté avec nous pour des mises à jour régulières
Contact Us,Contact Us,Contáctenos,اتصل بنا,Contactez-nous
Layout Mode,Layout Mode,Modo de diseño,وضع التخطيط,Mode de mise en page
Topbar Color,Topbar Color,Color de la barra superior,لون الشريط العلوي,Couleur de la barre supérieure
Dark Mode,Dark Mode,Modo oscuro,الوضع المظلم,Mode sombre
Light Mode,Light Mode,Modo claro,وضع الإضاءة,Mode lumière
Sidebar Color,Sidebar Color,Color de la barra lateral,لون الشريط الجانبي,Couleur de la barre latérale
Min Sidebar Color,Min Sidebar Color,Color mínimo de la barra lateral,الحد الأدنى للون الشريط الجانبي,Couleur minimale de la barre latérale
Direction,Direction,Dirección,اتجاه,Direction
RTL Support,RTL Support,Soporte RTL,دعم RTL,Prise en charge RTL
Total Refers,Total Refers,Total de referencias,إجمالي الإحالات,Total des références
Total Invested,Total Invested,Total invertido,إجمالي الاستثمار,Total investi
Current Position,Current Position,Posición actual,المنصب الحالي,Poste actuel
Refer Code,Refer Code,Código de referencia,رمز المرجع,Code de référence
Refer Link,Refer Link,Enlace de referencia,رابط مرجعي,Lien de référence
Referral User,Referral User,Usuario de referencia,مستخدم الإحالة,Utilisateur référent
Requirement,Requirement,Requisito,متطلبات,Exigence
Refer,Refer,Referirse,يشير إلى,Référer
Invest,Invest,Invertir,يستثمر,Investir
Commission,Commission,Comisión,عمولة,Commission
Per Refer,Per Refer,Por referencia,لكل إحالة,Par référence
Account Label,Account Label,Etiqueta de cuenta,تسمية الحساب,Étiquette du compte
My Status,My Status,Mi estado,حالتي,Mon statut
View All,View All,Ver todo,عرض الكل,Tout voir
Refer Friend,Refer Friend,Recomendar a un amigo,أحل صديقًا,Parrainer un ami
Refer Friends,Refer Friends,Recomienda a tus amigos,أحل الأصدقاء,Parrainer des amis
Copy Referral Code,Copy Referral Code,Copiar código de referencia,نسخ رمز الإحالة,Copier le code de parrainage
Text Copied To Clipboard,Text Copied To Clipboard,Texto copiado al portapapeles,تم نسخ النص إلى الحافظة,Texte copié dans le presse-papiers
Optionals,Optionals,Opcionales,اختياري,Options
Balance Type,Balance Type,Tipo de equilibrio,نوع الرصيد,Type d'équilibre
Something went wrong! Please try again,Something went wrong! Please try again,¡Algo salió mal! Inténtalo de nuevo.,حدث خطأ ما! يُرجى المحاولة مرة أخرى.,Une erreur s'est produite ! Veuillez réessayer.
Security Setting Updated Successfully!,Security Setting Updated Successfully!,¡Configuración de seguridad actualizada exitosamente!,تم تحديث إعدادات الأمان بنجاح!,Paramètre de sécurité mis à jour avec succès !
Please verify 2FA,Please verify 2FA,Por favor verificar 2FA,يرجى التحقق من 2FA,Veuillez vérifier 2FA
Authorize Google Two Factor,Authorize Google Two Factor,Autorizar Google Two Factor,تفويض Google Two Factor,Autoriser Google Two Factor
2FA Authenticaiton,2FA Authenticaiton,Autenticación 2FA,مصادقة 2FA,Authentification 2FA
Transactions & Logs,Transactions & Logs,Transacciones y registros,المعاملات والسجلات,Transactions et journaux
Image Assets,Image Assets,Activos de imagen,أصول الصور,Ressources d'image
Reset,Reset,Reiniciar,إعادة ضبط,Réinitialiser
Enter your account email address or username,Enter your account email address or username,Ingrese la dirección de correo electrónico o el nombre de usuario de su cuenta,أدخل عنوان البريد الإلكتروني لحسابك أو اسم المستخدم,Saisissez l'adresse e-mail ou le nom d'utilisateur de votre compte
Username OR Email Address,Username OR Email Address,Nombre de usuario O dirección de correo electrónico,اسم المستخدم أو عنوان البريد الإلكتروني,Nom d'utilisateur OU adresse e-mail
Enter Username,Enter Username,Introducir nombre de usuario,أدخل اسم المستخدم,Entrez le nom d'utilisateur
Password Reset Link sended to your email address.,Password Reset Link sended to your email address.,Enlace de restablecimiento de contraseña enviado a su dirección de correo electrónico.,سيتم إرسال رابط إعادة تعيين كلمة المرور إلى عنوان بريدك الإلكتروني.,Lien de réinitialisation du mot de passe envoyé à votre adresse e-mail.
Successfully updated password. Please login,Successfully updated password. Please login,Contraseña actualizada correctamente. Inicia sesión.,تم تحديث كلمة المرور بنجاح. يُرجى تسجيل الدخول.,Mot de passe mis à jour avec succès. Veuillez vous connecter.
Email send successfully!,Email send successfully!,¡El correo electrónico se envió exitosamente!,تم إرسال البريد الإلكتروني بنجاح!,L'e-mail a été envoyé avec succès !
error,error,error,خطأ,erreur
Can,Can,Poder,يستطيع,Peut
) . AdminRoleConst::SUPER_ADMIN . __(,) . AdminRoleConst::SUPER_ADMIN . __(,) .AdminRoleConst::SUPER_ADMIN . __(,) . AdminRoleConst::SUPER_ADMIN . __(,) . AdminRoleConst::SUPER_ADMIN . __(
Oops! Failed to upload image.,Oops! Failed to upload image.,¡Ups! Error al cargar la imagen.,عفواً! فشل تحميل الصورة.,Oups ! Impossible de télécharger l'image.
Something went wrong! Please try again.,Something went wrong! Please try again.,¡Algo salió mal! Inténtalo de nuevo.,حدث خطأ ما! يُرجى المحاولة مرة أخرى.,Une erreur s'est produite ! Veuillez réessayer.
Role assign failed!,Role assign failed!,¡Error en la asignación de rol!,فشل تعيين الدور!,L'attribution des rôles a échoué !
New admin created successfully!,New admin created successfully!,¡Nuevo administrador creado exitosamente!,تم إنشاء المشرف الجديد بنجاح!,Nouvel administrateur créé avec succès !
warning,warning,advertencia,تحذير,avertissement
Oops! Target admin not found!,Oops! Target admin not found!,¡Ups! ¡No se encontró el administrador objetivo!,عفواً! لم يتم العثور على المسؤول المستهدف!,Oups ! Administrateur cible introuvable !
Failed to assign role.,Failed to assign role.,No se pudo asignar el rol.,فشل في تعيين الدور.,Échec de l'attribution du rôle.
Admin information updated successfully!,Admin information updated successfully!,¡Información de administrador actualizada exitosamente!,تم تحديث معلومات المسؤول بنجاح!,Les informations d'administration ont été mises à jour avec succès !
Admin not found!,Admin not found!,¡Admin no encontrado!,لم يتم العثور على المسؤول!,Administrateur non trouvé !
Something went wrong!. Please try again.,Something went wrong!. Please try again.,"¡Algo salió mal! Por favor, inténtalo de nuevo.",حدث خطأ ما! يُرجى المحاولة مرة أخرى.,Une erreur s'est produite ! Veuillez réessayer.
Admin status updated successfully!,Admin status updated successfully!,¡Estado de administrador actualizado exitosamente!,تم تحديث حالة المسؤول بنجاح!,Le statut de l'administrateur a été mis à jour avec succès !
Admin role created successfully!,Admin role created successfully!,¡El rol de administrador se creó exitosamente!,تم إنشاء دور المسؤول بنجاح!,Rôle d'administrateur créé avec succès !
Oops! Target not found!,Oops! Target not found!,¡Ups! ¡Objetivo no encontrado!,عفواً! لم يتم العثور على الهدف!,Oups ! Cible introuvable !
Admin role deleted successfully!,Admin role deleted successfully!,¡El rol de administrador se eliminó exitosamente!,تم حذف دور المسؤول بنجاح!,Le rôle d'administrateur a été supprimé avec succès !
Permission created successfully!,Permission created successfully!,¡Permiso creado exitosamente!,تم إنشاء الإذن بنجاح!,Permission créée avec succès !
Target not found!,Target not found!,¡Objetivo no encontrado!,لم يتم العثور على الهدف!,Cible non trouvée !
Permission not found!,Permission not found!,¡Permiso no encontrado!,لم يتم العثور على الإذن!,Permission non trouvée !
Permission updated successfully!,Permission updated successfully!,¡Permiso actualizado exitosamente!,تم تحديث الإذن بنجاح!,Permission mise à jour avec succès !
Permission deleted successfully!,Permission deleted successfully!,¡Permiso eliminado exitosamente!,تم حذف الإذن بنجاح!,L'autorisation a été supprimée avec succès !
Role permission not found!,Role permission not found!,¡No se encontró el permiso del rol!,لم يتم العثور على إذن الدور!,Autorisation de rôle non trouvée !
Permission assign successfully!,Permission assign successfully!,¡Permiso asignado exitosamente!,تم تعيين الإذن بنجاح!,L'autorisation a été attribuée avec succès !
Admin deleted successfully!,Admin deleted successfully!,¡Administrador eliminado exitosamente!,تم الحذف بواسطة المسؤول بنجاح!,L'administrateur a été supprimé avec succès !
Onboard Screen Added Successfully!,Onboard Screen Added Successfully!,¡Pantalla incorporada agregada exitosamente!,تمت إضافة الشاشة الموجودة على متن الطائرة بنجاح!,Écran embarqué ajouté avec succès !
Onboard screen not found!,Onboard screen not found!,¡No se encontró la pantalla integrada!,لم يتم العثور على الشاشة الموجودة على متن الطائرة!,Écran embarqué non trouvé !
Onboard screen status updated successfully!.,Onboard screen status updated successfully!.,¡El estado de la pantalla a bordo se actualizó correctamente!.,تم تحديث حالة الشاشة الموجودة على متن الطائرة بنجاح!.,L'état de l'écran embarqué a été mis à jour avec succès !.
Onboard screen information updated successfully!,Onboard screen information updated successfully!,¡La información de la pantalla a bordo se actualizó exitosamente!,تم تحديث معلومات الشاشة الموجودة على متن الطائرة بنجاح!,Les informations de l'écran embarqué ont été mises à jour avec succès !
Screen deleted successfully!,Screen deleted successfully!,¡Pantalla eliminada exitosamente!,تم حذف الشاشة بنجاح!,Écran supprimé avec succès !
Splash screen updated successfully!,Splash screen updated successfully!,¡La pantalla de bienvenida se actualizó exitosamente!,تم تحديث شاشة البداية بنجاح!,Écran de démarrage mis à jour avec succès !
URL settings updated successfully!,URL settings updated successfully!,¡La configuración de URL se actualizó correctamente!,تم تحديث إعدادات URL بنجاح!,Les paramètres d'URL ont été mis à jour avec succès !
Broadcast configuration updated successfully!,Broadcast configuration updated successfully!,¡Configuración de transmisión actualizada exitosamente!,تم تحديث تكوين البث بنجاح!,Configuration de diffusion mise à jour avec succès !
Reply sended successfully!,Reply sended successfully!,¡Respuesta enviada exitosamente!,تم إرسال الرد بنجاح!,Réponse envoyée avec succès !
Cookie information updated successfully!,Cookie information updated successfully!,¡Información de cookies actualizada exitosamente!,تم تحديث معلومات ملفات تعريف الارتباط بنجاح!,Informations sur les cookies mises à jour avec succès !
Wallet generated successfully!,Wallet generated successfully!,¡Billetera generada exitosamente!,تم إنشاء المحفظة بنجاح!,Portefeuille généré avec succès !
Balance Updated Successfully!,Balance Updated Successfully!,¡Saldo actualizado exitosamente!,تم تحديث الرصيد بنجاح!,Solde mis à jour avec succès !
Wallet Added Successfully!,Wallet Added Successfully!,¡Billetera agregada exitosamente!,تمت إضافة المحفظة بنجاح!,Portefeuille ajouté avec succès !
Wallet Address Deleted Successfully!,Wallet Address Deleted Successfully!,¡Dirección de billetera eliminada exitosamente!,تم حذف عنوان المحفظة بنجاح!,L'adresse du portefeuille a été supprimée avec succès !
Wallet Information not found!,Wallet Information not found!,¡No se encontró información de la billetera!,لم يتم العثور على معلومات المحفظة!,Informations sur le portefeuille non trouvées !
Wallet Status Changed Successfully!,Wallet Status Changed Successfully!,¡El estado de la billetera se cambió exitosamente!,تم تغيير حالة المحفظة بنجاح!,Le statut du portefeuille a été modifié avec succès !
Crypto Asset Not Found!,Crypto Asset Not Found!,¡Activo criptográfico no encontrado!,لم يتم العثور على الأصول المشفرة!,Actif cryptographique non trouvé !
Crypto Address Not Found!,Crypto Address Not Found!,¡Dirección criptográfica no encontrada!,لم يتم العثور على عنوان التشفير!,Adresse cryptographique non trouvée !
Default currency make failed! Please try again.,Default currency make failed! Please try again.,¡Error al crear la moneda predeterminada! Inténtalo de nuevo.,فشل تحديد العملة الافتراضية! يُرجى المحاولة مرة أخرى.,Échec de la création de la devise par défaut ! Veuillez réessayer.
Currency Saved Successfully!,Currency Saved Successfully!,¡Moneda guardada exitosamente!,تم حفظ العملة بنجاح!,Devise enregistrée avec succès !
Currency record not found in our system.,Currency record not found in our system.,Registro de moneda no encontrado en nuestro sistema.,لم يتم العثور على سجل العملة في نظامنا.,Enregistrement de devise non trouvé dans notre système.
Currency status updated successfully!,Currency status updated successfully!,¡Estado de la moneda actualizado exitosamente!,تم تحديث حالة العملة بنجاح!,Le statut de la devise a été mis à jour avec succès !
Currency not found!,Currency not found!,¡Moneda no encontrada!,لم يتم العثور على العملة!,Devise non trouvée !
Image file upload failed!,Image file upload failed!,¡Error al cargar el archivo de imagen!,فشل تحميل ملف الصورة!,Le téléchargement du fichier image a échoué !
Successfully updated the information.,Successfully updated the information.,La información se actualizó exitosamente.,تم تحديث المعلومات بنجاح.,Les informations ont été mises à jour avec succès.
Currency deleted successfully!,Currency deleted successfully!,¡Moneda eliminada exitosamente!,تم حذف العملة بنجاح!,Devise supprimée avec succès !
Notifications clear successfully!,Notifications clear successfully!,¡Las notificaciones se borraron correctamente!,تم مسح الإشعارات بنجاح!,Les notifications ont été effacées avec succès !
Extension has been updated successfully,Extension has been updated successfully,La extensión se ha actualizado correctamente,تم تحديث الامتداد بنجاح,L'extension a été mise à jour avec succès
Extension is not found!.,Extension is not found!.,¡No se encuentra la extensión!.,لم يتم العثور على الامتداد!.,L'extension n'est pas trouvée !.
Extension status is updated successfully!,Extension status is updated successfully!,¡El estado de la extensión se actualizó correctamente!,تم تحديث حالة التمديد بنجاح!,Le statut de l'extension a été mis à jour avec succès !
Language (,Language (,Idioma (,لغة (,Langue (
) is not removable.,) is not removable.,) no es removible.,) غير قابلة للإزالة.,) n'est pas amovible.
File remove failed!,File remove failed!,¡Error al eliminar el archivo!,فشل إزالة الملف!,La suppression du fichier a échoué !
Language deleted successfully!,Language deleted successfully!,¡Idioma eliminado exitosamente!,تم حذف اللغة بنجاح!,Langue supprimée avec succès !
Please deselect your default language first.,Please deselect your default language first.,Primero deseleccione su idioma predeterminado.,يرجى إلغاء تحديد اللغة الافتراضية الخاصة بك أولاً.,Veuillez d'abord désélectionner votre langue par défaut.
Language status updated successfully!,Language status updated successfully!,¡Estado del idioma actualizado exitosamente!,تم تحديث حالة اللغة بنجاح!,Le statut de la langue a été mis à jour avec succès !
Sorry! Language not found!,Sorry! Language not found!,¡Lo siento! ¡No se encontró el idioma!,عذرا! لم يتم العثور على اللغة!,Désolé! Langue non trouvée!
Failed to store new file.,Failed to store new file.,Error al almacenar el nuevo archivo.,فشل في تخزين الملف الجديد.,Échec du stockage du nouveau fichier.
Language updated successfully!,Language updated successfully!,¡Idioma actualizado exitosamente!,تم تحديث اللغة بنجاح!,Langue mise à jour avec succès !
Oops! Language not found!,Oops! Language not found!,¡Ups! ¡No se encontró el idioma!,عفواً! لم يتم العثور على اللغة!,Oups ! Langue introuvable !
Language switch successfully!,Language switch successfully!,¡Cambio de idioma exitoso!,تم تبديل اللغة بنجاح!,Changement de langue réussi !
File does not exists.,File does not exists.,El archivo no existe.,الملف غير موجود.,Le fichier n'existe pas.
Payment gateway currency not found!,Payment gateway currency not found!,¡No se encontró la moneda de la pasarela de pago!,لم يتم العثور على عملة بوابة الدفع!,Devise de la passerelle de paiement non trouvée !
Payment gateway currency deleted successfully!,Payment gateway currency deleted successfully!,¡La moneda de la pasarela de pago se eliminó correctamente!,تم حذف عملة بوابة الدفع بنجاح!,La devise de la passerelle de paiement a été supprimée avec succès !
Payment gateway added successfully!,Payment gateway added successfully!,¡Pasarela de pago agregada exitosamente!,تمت إضافة بوابة الدفع بنجاح!,La passerelle de paiement a été ajoutée avec succès !
Payment gateway not found!.,Payment gateway not found!.,¡No se encontró la pasarela de pago!.,لم يتم العثور على بوابة الدفع!.,Passerelle de paiement non trouvée !.
Payment gateway status updated successfully!,Payment gateway status updated successfully!,¡El estado de la pasarela de pago se actualizó correctamente!,تم تحديث حالة بوابة الدفع بنجاح!,Le statut de la passerelle de paiement a été mis à jour avec succès !
Information updated successfully!,Information updated successfully!,¡Información actualizada exitosamente!,تم تحديث المعلومات بنجاح!,Informations mises à jour avec succès !
Image upload failed! Please try again.,Image upload failed! Please try again.,¡Error al cargar la imagen! Inténtalo de nuevo.,فشل تحميل الصورة! يُرجى المحاولة مرة أخرى.,Échec du téléchargement de l'image ! Veuillez réessayer.
add-money,add-money,añadir dinero,إضافة أموال,ajouter de l'argent
Oops! Payment gateway not found!,Oops! Payment gateway not found!,¡Ups! ¡No se encontró la pasarela de pago!,عفواً! لم يتم العثور على بوابة الدفع!,Oups ! Passerelle de paiement introuvable !
money-out,money-out,salida de dinero,سحب الأموال,retrait d'argent
Payment gateway updated successfully!,Payment gateway updated successfully!,¡La pasarela de pago se actualizó correctamente!,تم تحديث بوابة الدفع بنجاح!,Passerelle de paiement mise à jour avec succès !
Payment gateway deleted successfully!,Payment gateway deleted successfully!,¡La pasarela de pago se eliminó correctamente!,تم حذف بوابة الدفع بنجاح!,La passerelle de paiement a été supprimée avec succès !
Profile Information Updated Successfully!,Profile Information Updated Successfully!,¡Información del perfil actualizada exitosamente!,تم تحديث معلومات الملف الشخصي بنجاح!,Informations de profil mises à jour avec succès !
Oops! Basic settings not found!,Oops! Basic settings not found!,¡Ups! ¡No se encontraron los ajustes básicos!,عفواً! لم يتم العثور على الإعدادات الأساسية!,Oups ! Paramètres de base introuvables !
Sorry! You have to configure first to send push notification.,Sorry! You have to configure first to send push notification.,Lo sentimos. Primero debes configurar el envío de notificaciones push.,عذراً! يجب عليك أولاً إعداد الجهاز لإرسال إشعارات الدفع.,Désolé ! Vous devez d'abord configurer l'envoi des notifications push.
Please configure your push notification with valid credentials.,Please configure your push notification with valid credentials.,Configure su notificación push con credenciales válidas.,يرجى تكوين إشعار الدفع الخاص بك باستخدام بيانات اعتماد صالحة.,Veuillez configurer votre notification push avec des informations d'identification valides.
Oops! Failed to store information.,Oops! Failed to store information.,¡Ups! Error al almacenar la información.,عفواً! فشل تخزين المعلومات.,Oups ! Impossible de stocker les informations.
Notification sended successfully!,Notification sended successfully!,¡Notificación enviada exitosamente!,تم إرسال الإشعار بنجاح!,Notification envoyée avec succès !
Oops! Basic setting not found!,Oops! Basic setting not found!,¡Ups! ¡No se encontró la configuración básica!,عفواً! لم يتم العثور على الإعداد الأساسي!,Oups ! Paramètre de base introuvable !
Push notification configuration updated successfully!,Push notification configuration updated successfully!,¡La configuración de notificaciones push se actualizó exitosamente!,تم تحديث تكوين إشعار الدفع بنجاح!,La configuration des notifications push a été mise à jour avec succès !
Basic settings not found!,Basic settings not found!,¡No se encontraron configuraciones básicas!,لم يتم العثور على الإعدادات الأساسية!,Paramètres de base non trouvés !
Invalid KYC or KYC not found!,Invalid KYC or KYC not found!,¡KYC no válido o KYC no encontrado!,KYC غير صالح أو لم يتم العثور على KYC!,KYC invalide ou KYC non trouvé !
KYC status updated successfully!,KYC status updated successfully!,¡Estado KYC actualizado exitosamente!,تم تحديث حالة KYC بنجاح!,Le statut KYC a été mis à jour avec succès !
Page not found!,Page not found!,¡Página no encontrada!,لم يتم العثور على الصفحة!,Page non trouvée !
Setup Page status updated successfully!,Setup Page status updated successfully!,¡El estado de la página de configuración se actualizó correctamente!,تم تحديث حالة صفحة الإعداد بنجاح!,L'état de la page de configuration a été mis à jour avec succès !
Section updated successfully!,Section updated successfully!,¡Sección actualizada exitosamente!,تم تحديث القسم بنجاح!,Section mise à jour avec succès !
Section item added successfully!,Section item added successfully!,¡Elemento de sección añadido exitosamente!,تمت إضافة عنصر القسم بنجاح!,L'élément de section a été ajouté avec succès !
Section not found!,Section not found!,¡Sección no encontrada!,لم يتم العثور على القسم!,Section non trouvée !
items,items,elementos,أغراض,articles
Section item not found!,Section item not found!,¡Elemento de sección no encontrado!,لم يتم العثور على عنصر القسم!,Élément de section non trouvé !
Section item is invalid!,Section item is invalid!,¡El elemento de sección no es válido!,عنصر القسم غير صالح!,L'élément de section n'est pas valide !
Section item deleted successfully!,Section item deleted successfully!,¡Elemento de sección eliminado exitosamente!,تم حذف عنصر القسم بنجاح!,L'élément de section a été supprimé avec succès !
Section Item updated successfully!,Section Item updated successfully!,¡Elemento de sección actualizado exitosamente!,تم تحديث عنصر القسم بنجاح!,L'élément de section a été mis à jour avec succès !
Mail send failed! Please try again,Mail send failed! Please try again,¡Error al enviar el correo! Inténtalo de nuevo.,فشل إرسال البريد! يُرجى المحاولة مرة أخرى.,Échec de l'envoi du mail ! Veuillez réessayer.
Mail successfully sended,Mail successfully sended,Correo enviado exitosamente,تم إرسال البريد بنجاح,Courrier envoyé avec succès
This support ticket is closed.,This support ticket is closed.,Este ticket de soporte está cerrado.,تم إغلاق تذكرة الدعم هذه.,Ce ticket d'assistance est fermé.
SMS Sending failed! Please try again.,SMS Sending failed! Please try again.,¡Error al enviar el SMS! Inténtalo de nuevo.,فشل إرسال الرسائل النصية! يُرجى المحاولة مرة أخرى.,Échec de l'envoi du SMS ! Veuillez réessayer.
Failed to change status to active!,Failed to change status to active!,¡No se pudo cambiar el estado a activo!,فشل في تغيير الحالة إلى نشطة!,Impossible de changer le statut en actif !
This ticket is already solved!,This ticket is already solved!,¡Este ticket ya está resuelto!,تم حل هذه التذكرة بالفعل!,Ce ticket est déjà résolu !
Transaction charge not found!,Transaction charge not found!,¡Cargo por transacción no encontrado!,لم يتم العثور على رسوم المعاملة!,Frais de transaction non trouvés !
Charge Updated Successfully!,Charge Updated Successfully!,¡Cargo actualizado exitosamente!,تم تحديث الرسوم بنجاح!,Charge mise à jour avec succès !
Useful link added successfully!,Useful link added successfully!,¡Enlace útil añadido exitosamente!,تمت إضافة الرابط المفيد بنجاح!,Lien utile ajouté avec succès !
Link not found!,Link not found!,¡Enlace no encontrado!,لم يتم العثور على الرابط!,Lien non trouvé !
Useful link updated successfully!,Useful link updated successfully!,¡Enlace útil actualizado exitosamente!,تم تحديث الرابط المفيد بنجاح!,Lien utile mis à jour avec succès !
Useful link deleted successfully!,Useful link deleted successfully!,¡Enlace útil eliminado exitosamente!,تم حذف الرابط المفيد بنجاح!,Lien utile supprimé avec succès !
Useful link status updated successfully!,Useful link status updated successfully!,¡Estado del enlace útil actualizado exitosamente!,تم تحديث حالة الرابط المفيد بنجاح!,Statut du lien utile mis à jour avec succès !
Oops! User does not exists,Oops! User does not exists,¡Ups! El usuario no existe,عفواً! المستخدم غير موجود,Oups ! L'utilisateur n'existe pas.
Email successfully sended,Email successfully sended,Correo electrónico enviado exitosamente,تم إرسال البريد الإلكتروني بنجاح,E-mail envoyé avec succès
User already KYC verified,User already KYC verified,Usuario ya verificado KYC,تم التحقق من هوية المستخدم (KYC) بالفعل,Utilisateur déjà vérifié KYC
User KYC information not found,User KYC information not found,No se encontró la información KYC del usuario,لم يتم العثور على معلومات KYC للمستخدم,Informations KYC utilisateur introuvables
User KYC successfully approved,User KYC successfully approved,KYC del usuario aprobado exitosamente,تمت الموافقة على KYC للمستخدم بنجاح,KYC utilisateur approuvé avec succès
User KYC information is rejected,User KYC information is rejected,La información KYC del usuario es rechazada,تم رفض معلومات KYC للمستخدم,Les informations KYC de l'utilisateur sont rejetées
Basic settings updated successfully!,Basic settings updated successfully!,¡Configuración básica actualizada exitosamente!,تم تحديث الإعدادات الأساسية بنجاح!,Paramètres de base mis à jour avec succès !
